temperature_2m,relativehumidity_2m,dewpoint_2m,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,Power
37.5,68,27.8,1.43,1.94,348,348,4.3,0.1453
40.7,57,26.8,1.82,2.52,351,353,5.5,0.1052
43.7,51,26.6,1.8,2.41,3,5,5.8,0.0651
46.6,41,24.3,1.55,1.99,15,18,5.8,0.025
47.5,40,24.2,1.42,1.91,39,43,5.4,0.0088
47.7,43,26.4,1.51,2.01,82,84,5.4,0.0165
46.9,48,28.4,2.12,2.72,109,107,6,0.0241
43.6,59,30.3,3.29,4.4,110,111,8,0.0318
39.9,64,28.5,3.37,4.81,102,102,8,0.0395
36.1,70,27.3,2.43,4.24,99,105,7.6,0.0471
31.5,86,27.7,2.66,5.66,124,134,4.8,0.0701
31.5,83,26.9,2.92,6.62,149,155,5,0.1083
32.1,77,25.6,3.65,8.01,171,178,6.5,0.1466
33.6,81,28.5,3.96,8.25,201,203,7.6,0.1849
32.7,85,28.5,3.7,7.88,199,204,7.3,0.2231
31.7,88,28.5,3.36,7.48,217,218,6.9,0.2614
31.7,88,28.5,3.07,6.59,199,210,6.1,0.2997
31.9,89,28.9,3.31,6.93,209,213,6.2,0.3379
31.4,90,28.8,3.05,6.63,212,214,6.3,0.3762
31.9,90,29.4,3.52,6.93,187,198,6.4,0.4145
32.7,89,29.9,3.28,6.42,192,198,6.6,0.4527
33.2,89,30.3,3.59,7.05,193,198,6.7,0.4474
34.1,89,31.3,3.67,7.13,191,195,6.8,0.3985
35,88,31.9,3.67,7.02,191,197,7,0.3497
38.2,82,33,3.69,5.99,193,195,7.5,0.3008
41.1,75,33.8,3.72,5.59,204,204,8.7,0.2519
45.2,67,34.8,2.94,4.1,215,214,8.2,0.203
48.3,61,35.3,2.78,3.75,232,228,7.2,0.1541
51.1,56,36,1.97,2.55,246,244,7,0.1243
53.2,53,36.6,1.43,1.77,258,254,5.5,0.1134
54,52,36.6,1,1.2,276,275,4.6,0.1026
53.7,53,37,0.81,0.98,300,294,3.6,0.0918
51.9,59,38,2.1,3.1,357,2,4.7,0.0809
47.7,72,39,2,3.62,53,66,4.9,0.0701
40.6,92,38.5,2.56,5.92,129,143,4,0.0683
40.2,91,37.8,2.02,4.77,160,170,4.2,0.0754
36.4,96,35.3,2.28,3.8,203,207,3,0.0825
36,96,35.1,2.14,3.19,233,238,2.7,0.0896
38.9,92,36.7,1.32,1.97,261,294,2.5,0.0968
37.3,95,36,1.92,2.67,298,347,2,0.1039
36.6,95,35.4,2.56,3.91,329,357,2.8,0.111
37.2,93,35.5,2.45,4,348,1,2.9,0.1182
39.4,87,35.8,2.5,5.5,358,359,3.7,0.1253
37.8,88,34.5,2.16,4.98,347,350,4.3,0.1324
36.2,84,31.7,1.7,4.12,315,331,3.8,0.1396
34.1,87,30.7,1.7,3.67,267,296,2.7,0.1843
31.9,90,29.3,2.79,5.81,255,273,5,0.2667
36.5,84,32.1,3.37,6.42,258,266,5.9,0.3492
41.6,72,33.2,3.08,5.16,257,261,6.7,0.4316
46.1,49,28,4.64,6.84,263,264,9.8,0.514
46.4,42,24.7,5.54,8.07,287,287,12.5,0.5964
48.3,38,23.6,5.86,8.41,295,295,12.7,0.6788
47.1,38,23,6.8,9.85,298,299,14.9,0.7283
46.3,35,19.8,6.94,9.98,298,299,14.9,0.7448
45.3,34,18.7,6.6,9.72,305,307,15,0.7614
43.7,39,20.4,7.44,11.09,319,321,16.2,0.778
41.6,39,18.2,6.52,9.86,319,320,15.5,0.7945
37.2,51,20.5,5.06,8.18,335,333,13.4,0.8111
30.5,50,14.2,6.94,11.46,313,314,10.3,0.8184
28.1,51,12.1,6.29,10.75,314,316,13.8,0.8163
26.5,50,10.5,5.8,10.07,315,319,12.5,0.8143
24.1,51,8.5,6.54,11.14,331,333,13.2,0.8123
21.7,52,6.9,6.14,10.55,330,333,13.3,0.8103
20.9,58,8.4,6.36,10.73,330,333,12.8,0.8083
21.4,59,9.3,5.46,10.46,319,328,12.8,0.8063
22,54,8,5.46,9.44,325,333,12.2,0.8042
23,52,7.8,5.11,8.57,337,343,11,0.8022
22.7,55,8.8,4.72,7.81,355,357,10.3,0.8002
21.6,53,6.9,4.9,8.1,2,1,9.7,0.7982
21.1,50,5.5,5.11,8.21,357,357,10.1,0.7571
20.7,48,4.1,5.43,8.45,354,354,11.1,0.6769
20.8,49,4.8,5.41,8.22,356,357,11.7,0.5967
21.6,47,4.6,5.12,7.42,356,356,11.4,0.5166
23.1,45,4.8,4.81,6.91,356,357,11.1,0.4364
24.6,42,4.8,4.5,6.3,360,360,11.1,0.3562
26.7,38,4.3,4.12,5.71,6,4,10.6,0.276
28.1,38,6,3.72,5.02,6,6,10.3,0.2313
28.6,40,7.2,3.03,3.95,8,9,9.6,0.222
29,40,7.8,2.5,3.3,2,2,8.2,0.2128
28.8,40,7.3,2.1,2.71,357,356,7.2,0.2035
28.5,39,6.9,1.55,2.02,345,340,6,0.1942
27.4,43,7.8,1.08,1.39,34,30,4.6,0.185
22.3,58,9.9,2.15,3.36,112,120,4.6,0.1757
20.1,70,11.9,2.47,3.33,122,139,4.3,0.1665
18.9,75,12.3,2.46,3.81,153,166,4.3,0.1572
18.6,75,12,2.2,4.11,177,184,4.1,0.1479
18.2,77,12.2,2.21,4.11,185,198,3.7,0.1387
18.1,77,12.3,2.51,4.74,185,198,4.2,0.1294
18.1,78,12.3,2.35,4.66,192,203,4.3,0.1201
18.1,77,12.3,2.51,4.97,203,210,4.2,0.1109
18.3,76,12,2.28,4.57,195,209,4.2,0.1016
18.8,74,12,2.02,4.11,189,206,4,0.0923
18.8,75,12.1,2.2,4.34,177,195,3.8,0.0831
19,74,12.2,2.12,4.26,172,189,3.9,0.1067
20.5,73,13.2,2.22,4.53,188,202,4.2,0.1632
24.9,61,13.4,2,3.34,183,189,5,0.2197
30.3,46,12.3,2.61,3.72,184,186,6.5,0.2762
34.1,31,6.8,3.62,4.94,174,173,8.7,0.3328
36.4,25,4.1,3.96,5.39,164,165,9.6,0.3893
38.7,19,0.5,4.05,5.57,160,162,9.8,0.4458
40.6,18,0.1,4.46,6.28,164,166,10.6,0.4708
41.2,19,1.7,4.73,6.73,167,169,10.7,0.4641
41.9,21,4.2,5,7.33,168,169,10.9,0.4575
43.2,19,3.7,5.12,7.53,174,175,11.6,0.4509
41.6,20,3.7,4.41,7.03,176,175,11.1,0.4443
38.6,24,4.5,3.2,6.61,182,183,9.2,0.4377
36.5,26,4.9,3.83,7.25,160,165,6.4,0.4306
35.2,33,8.7,3.91,7.96,148,155,7.6,0.4229
34.4,39,12,3.94,8.25,153,157,8,0.4153
34.9,37,11.1,5,9.46,160,164,9.7,0.4076
34.8,39,12.3,3.8,7.8,178,179,10.2,0.4
35,45,15.9,3.83,7.91,165,171,7.7,0.3923
35.2,54,20.2,4.32,8.6,175,179,9.5,0.3847
36.6,64,25.5,4.42,8.7,185,189,9.6,0.3771
36.9,75,29.6,3.86,7.65,201,206,14.1,0.3694
36.5,89,33.4,2.79,6.45,201,210,13.9,0.3618
37.9,90,35.2,3.26,7.11,198,208,12.7,0.3541
37.9,93,36.1,2.33,6.46,205,215,5.9,0.3758
39.4,91,36.9,3.08,6.8,234,244,5.7,0.4268
43.5,88,40.2,3.11,6.05,228,239,5.4,0.4778
46.8,86,42.9,3.18,6.4,226,231,5.8,0.5288
51.6,80,45.5,3.61,5.76,228,231,7.3,0.5797
57.9,68,47.3,5.19,7.51,242,243,10.9,0.6307
61,62,47.7,6.54,9.42,247,248,12.8,0.6817
63.6,58,48.4,7.59,11.07,252,253,15.7,0.6766
64.8,58,49.5,7.69,11.2,257,259,15.5,0.6154
64.4,61,50.5,5.3,8.4,269,271,15.6,0.5542
61.2,70,51.3,2.12,4.22,289,292,11,0.493
48.4,81,42.9,4.83,8.32,34,29,9.3,0.4318
42,81,36.5,3.97,6.9,34,30,10.3,0.3706
38.4,88,35.1,4.57,8.43,23,22,8.1,0.3503
37.2,91,34.8,4.78,8.42,20,20,13.5,0.371
35.2,95,33.9,4.3,8.07,36,34,10.8,0.3917
35.5,94,34,3.91,7.38,50,49,9.6,0.4124
34.6,98,33.9,3.5,6.58,37,43,9.7,0.4331
34.8,97,34,3.3,6.44,35,36,7.1,0.4538
34.6,97,33.9,3.77,7.22,32,37,6.9,0.4744
34.1,96,33.2,3.98,7.08,39,42,7.6,0.4951
33.9,95,32.8,4.12,7.79,39,42,8.3,0.5158
33.7,96,32.7,4.19,7.65,40,42,8.1,0.5365
33.5,96,32.6,3.82,6.87,45,48,8.1,0.5572
33.4,96,32.4,4.39,7.71,43,44,8.3,0.5809
33.9,95,32.8,3.72,6.74,36,41,8.6,0.6078
34.2,96,33.3,4.41,8.58,33,36,8,0.6347
34.4,96,33.5,4.75,8.35,41,42,9.5,0.6616
35,95,33.8,4.6,7.57,46,48,9.5,0.6884
34.6,96,33.5,4.36,7.14,53,53,9.3,0.7153
37.3,90,34.6,4.61,6.89,63,62,9.8,0.7422
38.4,87,34.8,4.74,7,62,59,10.7,0.7297
38.9,89,35.8,4.2,6.17,65,63,9.9,0.678
38.4,89,35.5,4.03,6.18,67,67,9.1,0.6262
39.1,86,35.4,3.57,5.44,72,73,8.9,0.5744
39,87,35.5,3.62,5.92,84,85,7.7,0.5227
38.7,88,35.6,3.7,6.93,92,95,7.5,0.4709
35.9,94,34.5,4.34,7.83,98,100,7.8,0.4602
35.7,94,34,4.84,8.81,97,99,9.4,0.4905
35.7,93,33.8,4.83,8.87,96,97,9.6,0.5209
35.4,92,33.2,4.8,8.81,89,93,9.4,0.5512
35.2,91,32.8,4.9,8.93,92,94,9.6,0.5815
34.8,91,32.4,4.83,8.83,96,100,9.5,0.6119
34.7,90,32.1,4.79,8.9,101,105,9.3,0.6422
34.8,88,31.7,4.88,9.02,101,105,9.4,0.6726
34.7,88,31.4,4.95,9.17,104,108,9.5,0.7029
34.8,88,31.6,4.84,9.14,108,113,9.4,0.7332
35.3,90,32.6,4.81,9.21,111,117,9.2,0.7636
35.7,92,33.7,4.7,9,114,120,9.2,0.7319
35.7,92,33.8,2.62,5.33,108,120,8.9,0.6383
38,90,35.4,3.57,6.83,108,122,6.2,0.5446
41.3,86,37.5,3.24,5.84,124,128,6.9,0.4509
45.3,82,40.2,3.47,5.3,131,134,7.6,0.3573
47.6,81,42,3.75,5.66,136,138,8.2,0.2636
51,81,45.3,3.56,5.06,142,142,8.6,0.17
50.6,87,46.8,2.55,3.89,132,136,7.9,0.1569
51.4,91,48.8,2.56,4.05,129,130,5.9,0.2244
50.6,94,48.9,2.8,5.77,145,152,5.5,0.2919
50.9,95,49.5,2.6,6.07,157,163,5.1,0.3594
52.1,95,50.8,2.15,5.39,158,165,5,0.4269
52.1,95,50.7,2.25,5.68,159,166,4,0.4944
49.3,98,48.9,2.59,5.89,152,159,3.9,0.5136
48.8,99,48.4,2.3,5.7,182,182,4.6,0.4844
48.3,99,48.2,2.75,5.88,199,198,5,0.4553
47.1,100,47.1,2.6,5.6,196,199,5.1,0.4262
46.4,100,46.4,2.72,5.89,197,201,4.8,0.3971
46.9,99,46.6,3.14,6.55,211,211,5.7,0.368
46.5,98,46.1,2.91,6.37,221,222,5.8,0.3388
45,99,44.7,2.91,6.64,229,233,5.3,0.3097
44.7,99,44.5,2.84,6.52,231,238,5.3,0.2806
45.3,99,45.1,2.83,6.6,228,238,5.4,0.2515
46.3,99,45.9,2.52,5.86,236,243,5.4,0.2224
47.1,98,46.6,2.64,5.51,233,241,4.8,0.2325
47.7,99,47.4,2.79,6.02,249,255,5.9,0.282
49.2,99,48.8,4.05,6.65,250,258,6.8,0.3315
49.9,98,49.2,4.81,7.33,253,259,8.3,0.3809
50.9,92,48.6,4.62,6.71,252,253,9.4,0.4304
51.3,90,48.5,4.24,6.42,251,252,9.4,0.4799
51.6,88,48.1,3.76,5.85,253,253,9.1,0.5293
51.2,86,47.1,3.54,5.32,254,254,8.1,0.5109
51.6,80,45.7,4.27,6.07,254,253,9.5,0.4245
50,82,44.8,3.34,4.85,261,262,9.4,0.338
50.1,81,44.4,2.91,4.21,266,266,7.1,0.2516
50.1,81,44.3,2.9,4.2,270,269,6.7,0.1652
49.1,82,43.9,2.53,4.4,288,291,6.4,0.0788
48.8,84,44.2,2,3.34,323,321,5.5,0.0412
45.9,93,43.9,2.12,3.44,19,8,4.1,0.0524
41.7,92,39.5,2.78,4.52,38,35,5.7,0.0636
39.3,93,37.5,2.72,4.63,36,33,6.1,0.0748
39.2,92,37.1,2.72,4.58,36,32,5.7,0.086
38.6,91,36.3,2.51,4.3,29,25,5.5,0.0972
38.4,90,35.7,2.88,5.12,20,17,5.8,0.1084
38.5,87,35.1,2.16,4,13,13,5.8,0.1196
38.3,86,34.4,2.91,4.81,4,4,5.6,0.1308
38,86,34.3,3,5.3,358,358,6.3,0.142
37.9,86,34.1,2.32,4.31,353,356,5.8,0.1532
37.5,87,33.9,2.63,4.52,351,355,5.2,0.1852
37,90,34.4,3.06,4.57,349,350,6.3,0.2381
37.9,89,34.8,3.3,5,360,1,7,0.291
38.6,85,34.6,3.67,5.51,11,12,7.7,0.3439
40.4,79,34.6,4.02,5.79,19,18,8.9,0.3968
42.2,74,34.5,4.21,5.98,18,18,9.7,0.4497
42.7,72,34.1,4.1,5.75,13,13,9.7,0.5026
44.4,67,34.2,4.14,5.66,8,8,9.5,0.5086
46.6,62,34.5,4.26,5.79,9,10,10,0.4677
46.7,61,33.9,4.16,5.67,10,9,10.1,0.4267
45.8,61,33.1,4.06,5.67,10,9,9.8,0.3858
43.8,64,32.3,4,5.65,13,13,9.5,0.3448
41.1,69,31.5,3.4,5.02,14,13,8.8,0.3039
37.2,77,30.8,2.5,5.2,358,2,6.9,0.2735
35.3,83,30.5,2.62,5.5,353,1,4.5,0.2536
34.6,83,30.1,2.91,6.31,356,3,5.2,0.2337
33.9,84,29.6,2.7,6.04,2,7,5.1,0.2138
33.9,82,28.9,2.51,5.7,5,15,4.5,0.1939
34.5,78,28.4,2.9,5.92,360,12,4.5,0.1741
35,76,28.2,2.8,6.33,2,5,4.5,0.1542
34.8,77,28.5,2.8,6.5,358,359,4.5,0.1343
33.9,81,28.7,2.7,6.4,358,2,4.6,0.1144
33,85,29,2.21,5.33,355,6,4.4,0.0945
32.2,87,28.9,2.82,5.1,343,360,3.5,0.0746
31,91,28.5,2.52,5.39,326,345,4.2,0.0776
32.3,89,29.5,2.52,4.94,304,328,5.1,0.1035
38.3,76,31.5,2.42,5.1,330,334,5.2,0.1294
42.3,68,32.5,3.4,4.97,332,335,7.7,0.1553
45.7,61,33.2,3.48,4.88,342,345,8.2,0.1812
47.6,56,32.9,4.1,5.8,357,358,9.7,0.2071
47.5,58,33.4,4.59,6.43,16,15,10.8,0.233
46.8,59,33.3,4.57,6.28,23,22,10.9,0.2499
45.9,60,32.7,4.3,6,31,30,10.8,0.2577
44.6,58,30.8,4.69,6.57,34,33,10.7,0.2656
41.8,62,29.5,3.81,5.46,23,24,10.6,0.2735
39.7,65,29.1,3.36,4.98,23,22,8.4,0.2813
37.4,69,28.2,3.36,5.42,30,30,7.4,0.2892
35.7,72,27.6,3.77,6.45,32,30,7.3,0.3164
34.8,73,26.9,4,7.64,37,37,7.3,0.3631
34.4,71,26.1,4.6,8.42,44,44,9.4,0.4097
34.8,72,26.7,3.91,7.57,40,42,9,0.4563
35.4,72,27.4,3.61,7.04,48,51,7.5,0.5029
35.5,72,27.4,3.4,6.89,62,64,7,0.5495
35.8,72,27.7,3.31,6.74,65,72,6.6,0.5962
36.6,76,29.8,3.63,7.11,82,92,6.9,0.6428
37.5,82,32.4,3.79,7.24,108,116,7.1,0.6894
37.3,82,32.2,3.89,7.3,108,113,7.4,0.736
36.9,81,31.7,4.12,7.63,104,112,7.7,0.7826
36.7,80,31.2,4.62,8.45,108,111,8.9,0.8068
37.1,77,30.7,4.37,7.93,101,104,10.2,0.8084
36.8,79,30.8,4.54,7.97,104,108,8.9,0.8101
36.2,84,32,4.39,8.48,102,109,9.3,0.8117
35.4,88,32.1,4.61,8.92,103,110,8.9,0.8134
35.4,88,32.3,5.04,8.41,104,108,10.2,0.815
34.5,92,32.3,5.76,9.3,98,102,11.3,0.8167
34.1,96,33.1,6.3,10.12,90,93,12.3,0.819
35,93,33.2,5.32,8.51,85,87,12.6,0.822
34.7,95,33.3,4.84,9.98,72,83,10.5,0.8249
34.8,94,33.2,5.03,10.58,73,77,9.9,0.8279
35,90,32.3,6.71,11.2,87,90,12.7,0.8309
34.8,90,32.1,7.82,13.31,86,88,15.7,0.8338
34.4,91,32.1,6.61,11.3,87,89,15.7,0.8244
34.5,93,32.7,5.22,9.3,85,89,13,0.8025
34.6,94,33,4.68,7.89,70,78,10.4,0.7806
34.3,94,32.7,5.24,9.18,77,79,10.9,0.7587
34.5,93,32.6,5.53,9.62,77,81,10.8,0.7367
34.4,94,33,5.1,9,74,78,11,0.7148
34.4,95,33,4.94,8.74,69,74,11.1,0.6929
34.5,94,33,4.79,8.49,64,69,9.7,0.671
34.5,95,33.3,4.58,8.2,54,60,9.3,0.6491
34.7,96,33.6,4.12,7.6,51,57,8.8,0.6272
34.7,96,33.8,4.22,7.66,54,57,8.1,0.6053
34.8,97,34.1,4.16,7.56,63,66,8.1,0.5824
34.2,98,33.7,3.19,6.12,41,52,8,0.5585
34.8,96,33.9,3.61,5.73,44,44,7.1,0.5347
35.7,92,33.8,3.98,6.11,39,40,8.3,0.5108
37.2,89,34.2,3.89,5.8,46,46,8.2,0.4869
37.6,88,34.5,3.83,5.46,33,35,8.2,0.463
37.1,89,34.1,4.12,6.22,23,24,8.7,0.4391
37.3,88,34.1,3.89,5.82,18,19,8.8,0.4586
36.9,90,34.2,3.85,5.75,9,13,8.3,0.5214
36.7,90,34,4.26,6.43,9,12,8.7,0.5842
36.5,90,33.9,4.72,7.17,5,8,9.6,0.647
35.7,90,33.1,4.93,7.81,6,10,10,0.7098
34.9,91,32.7,5.15,8.28,8,12,10.2,0.7727
34.4,94,33,4.88,8.48,15,19,10.2,0.7799
34.8,92,32.7,4.92,8.7,13,17,9.9,0.7315
34.8,91,32.5,4.55,7.93,9,14,9.8,0.6832
34.8,89,32,4.2,7.55,3,7,8.9,0.6348
34.1,90,31.5,4,7.22,360,5,8.3,0.5865
33.5,91,31.2,3.6,6.75,358,7,7.7,0.5381
32.1,94,30.5,3.32,6.74,344,354,6.9,0.4898
31.5,95,30.2,2.98,6.21,346,357,6.2,0.4414
30.7,95,29.5,3.35,6.9,333,343,6.3,0.3931
30.4,96,29.4,3.14,6.55,338,348,6.2,0.3447
30.3,96,29.3,3.36,6.89,330,341,6.2,0.2964
29.9,96,28.8,3.22,6.8,330,340,6.3,0.254
31.2,95,29.9,3.47,6.71,319,327,6.4,0.2175
35.3,85,31.3,3,4.92,330,333,6.6,0.181
39.5,73,31.6,3.23,4.59,338,340,7.5,0.1445
43.9,60,31,3.29,4.62,340,342,8.1,0.1081
47.6,49,29.4,3.4,4.73,346,347,8.5,0.0716
50.4,43,28.5,3.24,4.33,351,353,8.6,0.0351
52.4,39,28.2,3.54,4.74,331,332,8.8,0.0168
53.6,36,26.9,4.19,5.61,327,329,9.7,0.0166
54,34,25.9,3.26,4.39,333,336,9.8,0.0164
53.8,36,27.4,2.15,2.79,338,339,7.7,0.0161
53.8,38,28.9,1.17,1.49,329,318,5.4,0.0159
52.5,35,25.7,0.2,0.36,90,214,3.1,0.0157
49.3,41,26.5,1.1,1.79,175,243,2.1,0.0258
41.4,67,31.4,2.16,3.26,193,227,2.6,0.0461
41.1,67,31.2,1.87,4.39,196,221,2.6,0.0664
39.4,73,31.4,2.91,6.06,207,218,4.8,0.0867
38.2,78,31.8,2.62,5.95,227,250,4.8,0.107
37,81,31.7,2.69,4.59,239,281,4.5,0.1273
35.8,84,31.5,2.87,5.2,241,272,4.8,0.1477
35.7,83,31.2,2.67,5.8,257,271,5,0.168
35.1,84,30.9,2.71,6.04,266,277,4.7,0.1883
34.2,85,30.3,2.73,5.06,278,288,4.7,0.2086
32.8,89,29.9,1.49,3.78,290,307,3.8,0.2289
31.8,91,29.4,1.32,2.77,279,319,2.4,0.2538
35.4,81,30.3,2.79,5.82,249,265,2.3,0.2833
42,64,30.8,2.6,5.45,254,263,5.5,0.3128
48.3,48,29.4,2.42,3.51,263,265,5.8,0.3423
52.8,39,28.3,2.73,3.75,278,279,6.7,0.3719
55.6,35,28.5,2.86,3.88,282,282,7.2,0.4014
59.1,33,30,3.62,4.84,276,277,8.6,0.4309
60.9,34,32,2.35,3.14,282,279,8.7,0.4372
60,36,32.9,0.91,0.91,84,84,6.5,0.4202
57.3,42,34.3,2.93,3.75,98,99,7.4,0.4033
54.4,45,33.6,3.72,5.14,96,97,8.5,0.3864
50.8,49,32.3,3.26,5.14,108,103,8.6,0.3695
48.4,52,31.7,2.09,4.7,107,117,7.2,0.3525
46.8,54,31.2,2.5,5.69,127,129,4.4,0.3576
47.3,59,33.5,3.01,7.61,174,182,5,0.3846
49.6,58,35.4,3.42,7.76,201,202,7.2,0.4116
48.6,56,33.7,2.91,6.94,196,195,6.4,0.4386
46.5,60,33.4,2.86,6.75,192,192,5.5,0.4656
46.6,64,35,2.75,6.65,199,201,5.8,0.4927
44.7,83,39.7,2.82,6.52,207,212,5.5,0.5197
44.2,90,41.3,1.27,3.32,135,173,5.1,0.5467
44.4,90,41.5,1.63,4.79,137,151,2.8,0.5737
44.8,84,40.4,2.9,6.36,136,150,5.1,0.6007
44.3,82,39.2,3,6.25,116,130,5.5,0.6277
42.4,81,37.1,3.5,7.23,121,131,6.8,0.6528
43.2,79,37,4.08,8.12,107,112,7.3,0.6758
45.3,73,37.3,4.06,8.19,100,108,7.8,0.6988
47.7,63,35.8,4.3,7.09,102,106,9,0.7219
51.2,53,34.8,4.94,7.25,111,114,10.7,0.7449
54.2,47,34.6,5.51,8.16,119,121,11.8,0.7679
56,45,35.1,5.52,8.15,122,123,12,0.791
54.2,51,36.3,5.44,8.31,126,130,12.1,0.7987
49.3,72,40.7,4.83,8.18,124,129,11.7,0.7912
46.6,89,43.5,5.38,9.45,125,129,10.3,0.7836
45.9,91,43.3,5.42,9.63,120,125,10.9,0.7761
46.1,91,43.8,4.79,8.8,119,122,10.5,0.7685
45.7,92,43.5,4.14,8.03,110,121,9.3,0.761
45.3,83,40.5,4.95,9.63,98,103,8.4,0.7329
45.6,86,41.5,4.3,8.55,91,96,9.3,0.6843
45.2,84,40.6,4.4,8.62,87,94,8.4,0.6357
44,90,41.3,3.8,7.47,88,106,8.3,0.5872
45.3,94,43.6,3.1,6.4,92,115,7,0.5386
45.7,96,44.7,2.12,4.67,98,133,5.7,0.49
46.5,98,45.9,1.58,3.81,108,157,3.7,0.4414
48.2,98,47.6,2.15,5.23,152,173,4.3,0.3928
50,97,49.2,3.01,6.46,184,188,5.4,0.3443
51.1,97,50.3,3.13,6.44,207,208,5.8,0.2957
51.6,98,51,3.06,5.58,232,234,5.8,0.2471
51,100,50.9,2.21,4.46,252,261,5.5,0.2625
49.6,98,49,2.45,4.53,282,292,4,0.3418
46.5,99,46.2,2.45,4.21,282,298,5.6,0.4211
45.2,95,43.8,3.81,6.29,284,288,7.6,0.5005
42,93,40.2,4.62,7.07,292,295,9.5,0.5798
41.4,91,38.9,5.06,7.73,288,291,10.5,0.6591
40.9,90,38.2,6.1,9.2,288,289,12.4,0.7385
41.1,88,37.9,6.66,10.52,298,299,13.3,0.7608
41.2,88,37.8,6.41,10.21,301,303,14.3,0.7261
41.9,82,36.9,6.74,10.23,302,304,14.4,0.6914
43.2,76,36.3,6.82,10.38,305,306,13.5,0.6567
43.2,77,36.6,6.94,11.24,313,314,14.1,0.622
43.8,80,38.1,4.89,8.35,301,304,13.9,0.5873
44.4,82,39.2,5.38,9.27,312,314,9.9,0.5477
44.4,83,39.5,5.19,9.07,326,328,11.1,0.5031
42.4,88,39.1,4.69,8.86,320,323,10.2,0.4586
43.6,85,39.3,4.18,7.93,318,326,9.5,0.414
42.9,84,38.4,2.68,5.83,297,309,8.1,0.3694
42.2,87,38.6,3.35,6.71,287,295,6.3,0.3248
41.1,86,37.3,3.38,6.71,289,298,6.3,0.2803
39,86,35.3,2.88,6.34,304,308,6.4,0.2357
37.4,87,33.8,3,6.47,296,309,5.5,0.1911
35.7,88,32.5,2.52,5.24,326,336,5.3,0.1465
35,87,31.4,2.34,5.43,340,354,4,0.102
35.3,83,30.7,2.26,5.4,347,360,3.9,0.0828
37.5,82,32.5,1.91,4.22,6,14,3.9,0.089
40.2,75,33,1.42,3.32,51,46,3.2,0.0952
43.3,70,34,1.3,1.92,58,62,4.3,0.1014
43.9,70,34.8,2.33,3.35,80,80,5.4,0.1076
43.9,71,35.3,2.89,4.03,76,76,6.7,0.1138
44,73,35.8,3.18,4.49,77,78,7.1,0.12
45.1,71,36.3,4.24,6.04,71,71,9.2,0.1766
44.6,73,36.5,2.25,3.31,21,25,9.3,0.2834
44,77,37.3,3.05,4.61,23,24,6.3,0.3903
44.7,77,38,4.74,7.29,28,27,9.3,0.4972
42.6,86,38.7,5.49,11.01,33,34,11,0.6041
41,85,36.8,6.35,11.01,28,29,12.8,0.7109
38.5,85,34.3,6.44,11.6,47,45,12.7,0.7647
37.5,87,34.1,6.44,11.6,44,46,12.8,0.7652
38,89,35.1,6.31,11.4,49,52,12.7,0.7658
38.5,88,35.3,7.6,13.21,55,55,14.9,0.7664
35.9,95,34.6,7.78,13.16,46,47,16.8,0.7669
35.9,94,34.5,7.8,13.26,36,38,15.7,0.7675
36.7,92,34.7,8.38,14.29,36,39,16.8,0.7681
36.7,93,34.9,8.4,14.12,38,40,17.1,0.7686
35.8,95,34.5,8.8,14.73,40,42,17.6,0.7692
35.5,95,34.2,8.45,14.2,40,40,17.9,0.7698
35.3,96,34.2,8.36,14.16,37,36,17,0.7703
34.9,95,33.8,8.54,14.7,33,33,17.2,0.7663
34,97,33.3,7.74,13.19,25,27,17.3,0.7576
34.5,96,33.6,7.75,13.51,24,25,15.1,0.749
34.7,96,33.8,8.1,13.64,24,26,15.4,0.7403
35.5,94,34,8.78,14.46,23,24,16.8,0.7317
35.3,94,33.9,8.52,14.15,22,23,17,0.723
34.8,98,34.3,8.51,14.64,18,20,16.3,0.7143
35,98,34.5,8.2,13.92,16,17,16.5,0.7144
35.1,97,34.4,8.43,14.1,10,12,15.9,0.7232
35,98,34.5,8.03,14.21,5,7,16.1,0.732
34.5,98,33.9,8.31,15.36,2,5,16.1,0.7408
34.2,98,33.8,8.01,15.1,357,1,16,0.7496
34.1,95,33,9.6,16.22,1,2,17.7,0.7584
33.9,93,32.2,8.8,14.7,360,1,19.5,0.7629
33.8,93,32,8.46,13.85,353,355,17.8,0.763
33.9,90,31.3,8.36,13.87,353,354,17.2,0.7631
33.9,88,30.7,7.91,13.32,351,352,16.8,0.7632
34,85,30.1,7.81,13.14,350,352,16.1,0.7633
33.8,83,29.1,8.3,13.75,347,349,16.6,0.7634
33.3,81,28,8.2,13.67,347,349,16.9,0.7636
33,77,26.7,8.15,13.34,346,347,16.6,0.7637
32.6,75,25.4,7.88,13.22,345,346,16.4,0.7638
32.1,75,25.1,7.82,13,344,346,16.2,0.7639
32,73,24.4,7.91,13.22,344,346,16.5,0.764
31.5,71,23.1,8,13.28,347,348,16.8,0.7095
32.1,74,24.9,6.74,11.26,342,343,16.1,0.6003
33,69,24,7.49,11.83,341,343,16.6,0.4912
33.9,63,22.8,8.35,12.88,343,344,17.4,0.382
36,51,19.7,8.95,13.42,346,348,18.5,0.2729
37.5,50,20.5,8.16,11.99,343,344,18.6,0.1637
39.7,39,16.7,8.15,11.98,346,345,17.8,0.0546
